UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
jinsu choi,@LyuyZ5q1u9dX38m,2021-09-13T20:28:58.000Z,"jinsu choi
@LyuyZ5q1u9dX38m
·
9월 14일","막차가떠났습니다
히히덕거리며기다리거나셈에능한것들겉치레익숙한빈말을달고살던것들이제는마음편히살겠지만
아마도배불리먹은그마지막점심한끼는끝내모든걸아프게할겁니다
그렇게
막차가떠났습니다.",,,,,['https://pbs.twimg.com/media/E_MTDQuUYAMdRlT?format=jpg&name=900x900'],https://twitter.com/LyuyZ5q1u9dX38m/status/1437513657051582466
이게뭐야,@6N416LI28pVyKzL,2021-09-14T00:24:51.000Z,"이게뭐야
@6N416LI28pVyKzL
·
9월 14일",저녁에 지방과 단백질 보충했으니 오늘 점심은 볶음밥이다!,,,,,"['https://pbs.twimg.com/media/E_NI-_YVUAEuWON?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E_NJBrvUYAUg_wD?format=jpg&name=360x360']",https://twitter.com/6N416LI28pVyKzL/status/1437573021112307712
